N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
3330,100,0.000291545,1692375,125417,78041,1,13.49,21.69
3340,100,0.000290698,1699541,126500,77834,1,13.44,21.84
3350,100,0.000289855,1699375,125792,77792,1,13.51,21.85
3360,100,0.000289017,1708458,127459,78500,1,13.4,21.76
3370,100,0.000288184,1716375,128333,78583,1,13.37,21.84
3380,100,0.000287356,1721416,126125,78458,1,13.65,21.94
3390,100,0.000286533,1748042,129084,78583,1,13.54,22.24
3400,100,0.000285714,1726459,127791,80291,1,13.51,21.5
3410,100,0.0002849,1734000,130416,79750,1,13.3,21.74
3420,100,0.000284091,1710500,129375,79125,1,13.22,21.62
3430,100,0.000283286,1765542,131417,78958,1,13.43,22.36
3440,100,0.000282486,1741625,130750,81292,1,13.32,21.42
3450,100,0.00028169,1739125,186417,80666,1,9.33,21.56
3460,100,0.000280899,1755542,146833,85625,1,11.96,20.5
3470,100,0.000280112,1751958,135917,89292,1,12.89,19.62
3480,100,0.00027933,1820292,131084,81875,1,13.89,22.23
3490,100,0.000278552,1815625,132917,82666,1,13.66,21.96
3500,100,0.000277778,1866583,156500,87666,1,11.93,21.29
3510,100,0.000277008,1871041,147625,87334,1,12.67,21.42
3520,100,0.000276243,1772750,139375,82250,1,12.72,21.55
3530,100,0.000275482,1813209,134208,82292,1,13.51,22.03
3540,100,0.000274725,1787875,131167,81250,1,13.63,22
3550,100,0.000273973,1791292,134209,81875,1,13.35,21.88
3560,100,0.000273224,1793167,135166,81458,1,13.27,22.01
3570,100,0.00027248,1797292,175292,83042,1,10.25,21.64
3580,100,0.000271739,1841625,135959,83709,1,13.55,22
3590,100,0.000271003,1798042,140542,88708,1,12.79,20.27
3600,100,0.00027027,1875042,138541,85125,1,13.53,22.03
3610,100,0.000269542,1813416,137042,92292,1,13.23,19.65
3620,100,0.000268817,1825708,135042,83208,1,13.52,21.94
3630,100,0.000268097,1794666,136375,85375,1,13.16,21.02
3640,100,0.00026738,1816042,136709,85417,1,13.28,21.26
3650,100,0.000266667,1834583,136000,84459,1,13.49,21.72
3660,100,0.000265957,1890209,143333,85333,1,13.19,22.15
3670,100,0.000265252,1840667,154958,84334,1,11.88,21.83
3680,100,0.00026455,1884875,137625,91792,1,13.7,20.53
3690,100,0.000263852,1828792,141375,86583,1,12.94,21.12
3700,100,0.000263158,1880416,139375,84709,1,13.49,22.2
3710,100,0.000262467,1847583,146084,85667,1,12.65,21.57
3720,100,0.00026178,1880917,140084,86542,1,13.43,21.73
3730,100,0.000261097,1872916,138500,85875,1,13.52,21.81
3740,100,0.000260417,1872750,139583,85583,1,13.42,21.88
3750,100,0.00025974,1886417,164084,87041,1,11.5,21.67
3760,100,0.000259067,1855333,141500,90208,1,13.11,20.57
3770,100,0.000258398,1935917,145458,92250,1,13.31,20.99
3780,100,0.000257732,1903750,140167,90375,1,13.58,21.07
3790,100,0.000257069,1899709,142708,86375,1,13.31,21.99
3800,100,0.00025641,1906375,144292,88250,1,13.21,21.6
3810,100,0.000255754,1911250,142042,88041,1,13.46,21.71
3820,100,0.000255102,1921083,161834,97000,1,11.87,19.8
3830,100,0.000254453,1959958,153250,88625,1,12.79,22.12
3840,100,0.000253807,1925250,145708,88542,1,13.21,21.74
3850,100,0.000253165,1936833,144584,89083,1,13.4,21.74
3860,100,0.000252525,1936833,141375,87958,1,13.7,22.02
3870,100,0.000251889,1937417,144333,91541,1,13.42,21.16
3880,100,0.000251256,1956334,169167,95250,1,11.56,20.54
